Market,Parameter,Year_Label,Year,QV_Value,Percentage,Market_Encoded,Parameter_Encoded,Lag_1,Lag_2,Rolling_Mean_3
Others,Q - Quantity in Metric Tonnes,2005-06,2005,40234.0,7.86,3,0,30418.0,23441.0,31364.333333333332
Others,Q - Quantity in Metric Tonnes,2006-07,2006,56924.0,9.29,3,0,40234.0,30418.0,42525.333333333336
Others,Q - Quantity in Metric Tonnes,2007-08,2007,58972.0,10.89,3,0,56924.0,40234.0,52043.333333333336
Others,Q - Quantity in Metric Tonnes,2008-09,2008,93654.0,15.54,3,0,58972.0,56924.0,69850.0
Others,Q - Quantity in Metric Tonnes,2009-10,2009,88953.0,13.11,3,0,93654.0,58972.0,80526.33333333333
Others,Q - Quantity in Metric Tonnes,2010-11,2010,84257.0,10.36,3,0,88953.0,93654.0,88954.66666666667
Others,Q - Quantity in Metric Tonnes,2011-12,2011,87014.0,10.09,3,0,84257.0,88953.0,86741.33333333333
Others,Q - Quantity in Metric Tonnes,2012-13,2012,130623.0,14.07,3,0,87014.0,84257.0,100631.33333333333
Others,Q - Quantity in Metric Tonnes,2013-14,2013,112822.0,11.47,3,0,130623.0,87014.0,110153.0
Others,V - Value in Rs. Crores,2005-06,2005,572.9,7.91,3,1,502.4,351.46,475.58666666666664
Others,V - Value in Rs. Crores,2006-07,2006,757.3,9.05,3,1,572.9,502.4,610.8666666666667
Others,V - Value in Rs. Crores,2007-08,2007,734.62,9.64,3,1,757.3,572.9,688.2733333333334
Others,V - Value in Rs. Crores,2008-09,2008,907.21,10.54,3,1,734.62,757.3,799.71
Others,V - Value in Rs. Crores,2009-10,2009,909.07,9.05,3,1,907.21,734.62,850.3000000000001
Others,V - Value in Rs. Crores,2010-11,2010,1006.23,7.8,3,1,909.07,907.21,940.8366666666667
Others,V - Value in Rs. Crores,2011-12,2011,1321.72,7.96,3,1,1006.23,909.07,1079.006666666667
Others,V - Value in Rs. Crores,2012-13,2012,1738.29,9.22,3,1,1321.72,1006.23,1355.4133333333332
Others,V - Value in Rs. Crores,2013-14,2013,2462.4,8.15,3,1,1738.29,1321.72,1840.8033333333333
South East Asia Including China,Q - Quantity in Metric Tonnes,2005-06,2005,197216.0,38.51,4,0,188668.0,174408.0,186764.0
South East Asia Including China,Q - Quantity in Metric Tonnes,2006-07,2006,271163.0,44.26,4,0,197216.0,188668.0,219015.66666666666
South East Asia Including China,Q - Quantity in Metric Tonnes,2007-08,2007,203610.0,37.59,4,0,271163.0,197216.0,223996.33333333334
South East Asia Including China,Q - Quantity in Metric Tonnes,2008-09,2008,236265.0,39.19,4,0,203610.0,271163.0,237012.66666666666
South East Asia Including China,Q - Quantity in Metric Tonnes,2009-10,2009,293643.0,43.28,4,0,236265.0,203610.0,244506.0
South East Asia Including China,Q - Quantity in Metric Tonnes,2010-11,2010,393111.0,48.35,4,0,293643.0,236265.0,307673.0
South East Asia Including China,Q - Quantity in Metric Tonnes,2011-12,2011,428477.0,49.71,4,0,393111.0,293643.0,371743.6666666667
South East Asia Including China,Q - Quantity in Metric Tonnes,2012-13,2012,428720.0,46.19,4,0,428477.0,393111.0,416769.3333333333
South East Asia Including China,Q - Quantity in Metric Tonnes,2013-14,2013,455844.0,46.34,4,0,428720.0,428477.0,437680.3333333333
South East Asia Including China,V - Value in Rs. Crores,2005-06,2005,1435.3,19.81,4,1,1322.0,1222.23,1326.51
South East Asia Including China,V - Value in Rs. Crores,2006-07,2006,1773.66,21.21,4,1,1435.3,1322.0,1510.32
South East Asia Including China,V - Value in Rs. Crores,2007-08,2007,1583.56,20.78,4,1,1773.66,1435.3,1597.506666666667
South East Asia Including China,V - Value in Rs. Crores,2008-09,2008,2169.48,25.2,4,1,1583.56,1773.66,1842.2333333333333
South East Asia Including China,V - Value in Rs. Crores,2009-10,2009,3270.44,32.55,4,1,2169.48,1583.56,2341.16
South East Asia Including China,V - Value in Rs. Crores,2010-11,2010,4092.29,31.72,4,1,3270.44,2169.48,3177.4033333333336
South East Asia Including China,V - Value in Rs. Crores,2011-12,2011,5452.5,32.85,4,1,4092.29,3270.44,4271.743333333333
South East Asia Including China,V - Value in Rs. Crores,2012-13,2012,5802.14,30.77,4,1,5452.5,4092.29,5115.643333333333
South East Asia Including China,V - Value in Rs. Crores,2013-14,2013,9813.31,32.48,4,1,5802.14,5452.5,7022.650000000001
Total,Q - Quantity in Metric Tonnes,2005-06,2005,512164.0,100.0,5,0,461329.0,412017.0,461836.6666666667
Total,Q - Quantity in Metric Tonnes,2006-07,2006,612643.0,100.0,5,0,512164.0,461329.0,528712.0
Total,Q - Quantity in Metric Tonnes,2007-08,2007,541701.0,100.0,5,0,612643.0,512164.0,555502.6666666666
Total,Q - Quantity in Metric Tonnes,2008-09,2008,602834.0,100.0,5,0,541701.0,612643.0,585726.0
Total,Q - Quantity in Metric Tonnes,2009-10,2009,678436.0,100.0,5,0,602834.0,541701.0,607657.0
Total,Q - Quantity in Metric Tonnes,2010-11,2010,813090.0,100.0,5,0,678436.0,602834.0,698120.0
Total,Q - Quantity in Metric Tonnes,2011-12,2011,862021.0,100.0,5,0,813090.0,678436.0,784515.6666666666
Total,Q - Quantity in Metric Tonnes,2012-13,2012,928214.0,100.0,5,0,862021.0,813090.0,867775.0
Total,Q - Quantity in Metric Tonnes,2013-14,2013,983756.0,100.0,5,0,928214.0,862021.0,924663.6666666666
Total,V - Value in Rs. Crores,2005-06,2005,7245.3,100.0,5,1,6646.7,6091.95,6661.316666666667
Total,V - Value in Rs. Crores,2006-07,2006,8363.52,100.0,5,1,7245.3,6646.7,7418.506666666667
Total,V - Value in Rs. Crores,2007-08,2007,7620.91,100.0,5,1,8363.52,7245.3,7743.243333333335
Total,V - Value in Rs. Crores,2008-09,2008,8607.93,100.0,5,1,7620.91,8363.52,8197.453333333333
Total,V - Value in Rs. Crores,2009-10,2009,10048.53,100.0,5,1,8607.93,7620.91,8759.123333333335
Total,V - Value in Rs. Crores,2010-11,2010,12901.47,100.0,5,1,10048.53,8607.93,10519.31
Total,V - Value in Rs. Crores,2011-12,2011,16597.24,100.0,5,1,12901.47,10048.53,13182.413333333336
Total,V - Value in Rs. Crores,2012-13,2012,18856.26,100.0,5,1,16597.24,12901.47,16118.323333333334
Total,V - Value in Rs. Crores,2013-14,2013,30213.27,100.0,5,1,18856.26,16597.24,21888.923333333336
U. S. A,Q - Quantity in Metric Tonnes,2005-06,2005,55817.0,10.9,6,0,50045.0,53153.0,53005.0
U. S. A,Q - Quantity in Metric Tonnes,2006-07,2006,43761.0,7.14,6,0,55817.0,50045.0,49874.333333333336
U. S. A,Q - Quantity in Metric Tonnes,2007-08,2007,36613.0,6.76,6,0,43761.0,55817.0,45397.0
U. S. A,Q - Quantity in Metric Tonnes,2008-09,2008,36877.0,6.12,6,0,36613.0,43761.0,39083.666666666664
U. S. A,Q - Quantity in Metric Tonnes,2009-10,2009,33444.0,4.93,6,0,36877.0,36613.0,35644.666666666664
U. S. A,Q - Quantity in Metric Tonnes,2010-11,2010,50095.0,6.16,6,0,33444.0,36877.0,40138.666666666664
U. S. A,Q - Quantity in Metric Tonnes,2011-12,2011,68354.0,7.93,6,0,50095.0,33444.0,50631.0
U. S. A,Q - Quantity in Metric Tonnes,2012-13,2012,92447.0,9.96,6,0,68354.0,50095.0,70298.66666666667
U. S. A,Q - Quantity in Metric Tonnes,2013-14,2013,110880.0,11.27,6,0,92447.0,68354.0,90560.33333333333
U. S. A,V - Value in Rs. Crores,2005-06,2005,1639.2,22.62,6,1,1556.1,1682.06,1625.7866666666666
U. S. A,V - Value in Rs. Crores,2006-07,2006,1347.8,16.12,6,1,1639.2,1556.1,1514.3666666666668
U. S. A,V - Value in Rs. Crores,2007-08,2007,1016.94,13.34,6,1,1347.8,1639.2,1334.6466666666668
U. S. A,V - Value in Rs. Crores,2008-09,2008,1021.55,11.87,6,1,1016.94,1347.8,1128.7633333333333
U. S. A,V - Value in Rs. Crores,2009-10,2009,1012.52,10.08,6,1,1021.55,1016.94,1017.0033333333334
U. S. A,V - Value in Rs. Crores,2010-11,2010,1990.26,15.43,6,1,1012.52,1021.55,1341.4433333333334
U. S. A,V - Value in Rs. Crores,2011-12,2011,2977.53,17.94,6,1,1990.26,1012.52,1993.4366666666665
U. S. A,V - Value in Rs. Crores,2012-13,2012,4026.48,21.35,6,1,2977.53,1990.26,2998.09
U. S. A,V - Value in Rs. Crores,2013-14,2013,7744.67,25.63,6,1,4026.48,2977.53,4916.2266666666665
